date;executor;region;equipment;node;notes_on_the_operation_of_the_equipment;measures_taken;comments
01.01.2015;Третьякова И.;Вулканизация (Curing) ;Curing press 105;;отключалась сеть;проверить на шкафу включен ли роутер, если он включен, то проблема IT;
01.01.2015;Власов А.;Вулканизация (Curing) ;Curing press 311;;Не набирает давление формовки (по рецепту 0,5 бар - 1 стадия);Проверка и чистка подводящих и отводящих магистралей, датчика формовки, регулирующего клапана S+S, изменение процента открытия регулирующего клапана при формовании с 20 до 30 процентов;См. FC75 Nw3, HighLimit, было 20, сделал 30%. Еще на двух прессах изменено ранее.
01.01.2015;Власов А.;Вулканизация (Curing) ;Промазка;;Узел транспортирования шин не движется, его положения   не соответствуют заданным (см. страницу панели ручной режим, узел транспортировки, сервис - позиции трансп. шпинделя);Подключаемся к приводу SEW 12U1 кабелем USB-RJ45, входим в программу MOVITOOLS (Movidrive B, Port - COM-USB, Search)б после подключения к нашему приводу находим параметр 905 -Position offset и изменяем его в большую или меньшую сторону. Если узел не доехал до датчика положения станции окраски - а уже показывает 2520 мм, то измеряем примерно положение от датчика до середины пластины и меняем offset таким образом, чтобы на панели показывалось примерно его положение с учетом, что пластина на датчике - это 2520 мм. Пример: пластина узла траспортировки не доехала до датчика  50мм (примерно по серединам считаем) -Пп. 905 был 350000, добавляем к нему  10000 = 360000 и проверяем передвижение узла, при необходимости корректируем.;"Значения на панели: станция подъема 3 мм; выходной конвейер- 1208мм; станция окраски - 2520мм."
01.01.2015;Власов А.;Вулканизация (Curing) ;;;Нет движения узла вращения сырой шины при промазке. На приводе SEW10U11 (Movitrac B) (motor 10M13 1,1 kW/2,6 A) ошибка F07-DC link overvoltage;"Изменены времена разгона и торможения привода (время разгона - было 0,06 поставил 0,5; время торможения - было 6, поставил 10. Изменено в рецепте задание на количество оборотов в мин. Было 120, поставил 100. ";Далее параметры разгона и торможения возвращены в исходные.(0,06 и6)
01.01.2015;Китаева Г.;Вулканизация (Curing) ;Промазка;;Нет промазки шин, сообщение о невозможности определить размер сырой шины для последующей промазки либо при самых малых (R14), либо самых больших (R17,18) размерах;"На панели оператора на страницу ""Результаты измерений"" (на дом. странице нажать F10) добавлен параметр  ""Offset Height Tires"" -  для изменения величины высоты шины  во время измерения ее высоты и диаметра (когда шина приподнимается на крестовине).  ";"Когда малый размер, величину оффсет нужно увеличить, когда шина очень высокая- соответственно уменьшить, чтобы величина высоты шин была больше 200мм и менее 350мм. По умолчанию достаточно 0. Диапазон ± 30 достаточен. Login: Admin; Passw: M931. В проекте см. FC80 NW1 "
01.01.2015;Власов А.;Вулканизация (Curing) ;Curing press 112;;На панели оператора нет сигналов о местоположении разгрузчика справа (например);"Не приходит в контроллер сигнал с датчика 47S1 (""outside PCI""). Замена и настройка положения датчика";"Для всех прессов 48-52"" В положении разгрузчик снаружи должны сработать 2 датчика: на нижнем цилиндре 47S1 (I17.0) - cylinder out PCI и индуктивный unloader home pos 52S1 (I22.0); в положении Разгрузчик в прессе тоже 2 датчика: на нижнем цилиндре 47S1 (I17.0) - cylinder out PCI и  unloader inside press 47S8 (I17.7) на верхнем цилиндре .  В положении разгрузчик в PCI должны сработать  2 датчика: на нижнем  цилиндре 47S2 (I17.1) inside PCI и 52S1(I22.0)- разгрузчик home position"
01.01.2015;Копылов А.;Вулканизация (Curing) ;Curing press 112;;Когда пресс закрыт, выдается ошибка замков (правая сторона). На замках стоят два концевика - 28FS1 и 28FS2 (правый и левый замок соответственно). Концевики в закрытом положении замка отжаты, в открытом - нажаты. В первом случае пара нормально размокнутых контактов НЕ дает сигнал на контроллер (модуль 46А0, вход 19.6 и 19.7 соответственно), пара нормально замкнутых контактов включает реле 28FK1. Во втором случае идет сигнал на вход контроллера, но реле разобрано. Концевик 28FS1 работает правильно. Концевик 28FS2 был неисправен. После его замены стало ясно, что погнут уголок, который нажимает на концевик, и он все время отжат. Соответственно на вход 19.7 не приходил сигнал при открытом замке. Реле 28FK1 тем не менее собирается в закрытом положении замков, т.к. для его сборки требуется, чтобы концевики были отжаты. Однако ошибки на мониторе нет.;Замена концевика 28FS2.;Вероятно в таком режиме работа может быть продолжена. Проверить не удалось, так как требовался длительный прогрев пресса.
01.01.2015;Третьякова И.;Вулканизация (Curing) ;Curing press 308;;Не открываются клапаны 74В2 и 76В2, не подается пар;необходимо выставить параметры в рецепте кнопка PID 5,0 и 2 (см на другом прессе), пароль для ввода summa159;
01.01.2015;Третьякова И.;Вулканизация (Curing) ;Curing press 115;;при съеме покрышки в диафрагму подается давление формования;причина не установлена;
01.01.2015;Китаева Г.;Вулканизация (Curing) ;Curing press 310;;На правой стороне пресса не набирается формовка. ;"Ошибка 2004 Утечка в диафрагме справа. Необходимо поменять диафрагму и сбросить ошибку. Для этого перевести переключатель ""смена диафрагмы"" и одновременно нажать кнопку ""сброс ошибки"" на пульте пресса.";Это можно посмотреть в программе FC61 NW93
01.01.2015;Власов А.;Вулканизация (Curing) ;Curing press 105;;Левая половина останавливается при движении пресса. После сброса ошибки движение продолжается. Ошибок нет.;При движении длинный шланг подачи пара в конуса закрывает датчик наличия шины в разгрузчике, через нек-рое время (таймер) - пресс останавливается.  Для движения пресса  необходимо, в том числе, чтобы не было ошибок, что шина потеряна в разгрузчике (и загрузчике);Это можно посмотреть в программе FB121 NW31,32
01.01.2015;Власов А.;Вулканизация (Curing) ;Промазка;;Узел транспортирования шин не движется, на панели оператора сообщение об ошибке преобразователя SEW 12U11;На приводе мигает ошибка F42 - погрешность запаздывания при позиционировании. Изменили параметры разгона-торможения РР130…133 поставили 2сек. (было везде по 1сек.) 16.02.2015 Помогла замена реле -12К61-это реле включает-выключает тормоз;Вообще необходимо смотреть механику. (весь узел транспортировки) - отложено до ремонта.
01.01.2015;Китаева Г.;Вулканизация (Curing) ;Curing press 116;;"Пресс был остановлен контролером на 2-м визуальном контроле. После устранения проблем и разрешения запуска пресса, пресс не запускается. На панели оператора висит ошибка ""пресс остановлен на 2-м визуальном контроле""";Если в загрузчике есть шина с прочитанным штрихкодом (штрихкод был прочитан до разрешения запуска пресса), необходимо:  опустить шину на подставку, сбросить штрихкод в соответствующем окне на панели оператора и после этого можно запускать пресс.;Это актуально для всех прессов.
01.01.2015;Китаева Г.;Вулканизация (Curing) ;Curing press 214;;Проблема запуска пресса 224 после разрыва диафрагмы на левой стороне. Диафрагму поменяли, а ошибка снова появляется после запуска пресса в автоматическом режиме. ;Заклинило реле 41F5 (I 11.4) - пробой в диафрагме слева. Реле находится наверху пресса.  Реле 45F5 (I 15.4) - пробой в диафрагме справа.                                             Что сделать: 1. Посмотрел  - нет ли утечки реально - ОК.                                       2. Наладчик наверху вскрыл реле на обеих сторонах - реле в порядке, не активированы.                                                 3. На реле - оранжевая д.б. ниже середины - 0, 25 бар (опускать - крутить оранж. гайку по час. стрелке) , зеленая д. б. в самом низу - зеленая гайка - опускать против час. стрелки) ;"Это можно посмотреть в программе FС2 NW146 - левая сторона, FС2 NW147 - правая сторона.  Актуально для всех старых прессов №№ 214-229. Обязательно! После срабатывания сигналов «пробой сильфона», необходимо сделать его RESET, для этого  в ручном режиме                (пресс в ручном, нет варки)
• Перевести пресс в положение «смена диафрагмы», нажать «сброс ошибки».
          В автомате (во время варки)                              если было несанкционированное срабатывание реле(вверху  на половинках пресса за электрошкафчиками 6Х3, 7Х3, просто нажать кнопку «пробой сильфона».
Если сообщение опять появилось и замигала кнопка о пробое, это реально сработало реле.

"
01.01.2015;Власов А.;Вулканизация (Curing) ;Curing press 215;;На прессе 225 загрузчик не брал сырую заготовку внизу на подставке справа;Изменено в проекте: see FC3 NW3, добавлено в параллель к правой стороне работа без PCS(DB63.DBX21.1) - для левой стороны (DB63.DBX21.0) - т.к. для правой стороны с панели не выставляется;Изменено на всех прессах Воронеж1 (№№214-229)
01.01.2015;Власов А.;Вулканизация (Curing) ;Curing press 106;;Справа пресс останавливается во время движения. При сбросе ошибки вновь двигается и может остановиться, также разгрузчик может не отработать заданные движения;Это происходило из-за утечки по щлангу (штуцеру) на конуса. Пар попадал на датчик наличия шины в разгрузчике и он апериодично срабатывал. При движении пресса на закрытие необходимо, чтобы не было ошибок, в том числе, что шина потеряна в загрузчике или разгрузчике См. FB321 (121) NW31,32;Заменен штуцер и шланг механиками.
01.01.2015;Третьякова И.;Вулканизация (Curing) ;Curing press 112;;Не загружает покрышку;изменили позицию на 5 мм в рецепте с270 на 265 мм;
01.01.2015;;Вулканизация (Curing) ;Curing press 112;;при открытии-не открываются замки, останавливается не дойдя до верхнего положения;изменили положение конечника 28вS1 относительно направляющей по уровню, обратить внимание на работу 28кS2 (правая сторона замка);
01.01.2015;Власов А.;Вулканизация (Curing) ;Curing press 101;;По окончании цикла не идет на открытие, не сбрасывает давление подпрессовки, горит лампочка о присутствии внутреннего давления;Пресс пойдет на открытие (и подпрессовка сбросится, когда (в том числе) внутреннее давление будет меньше 0,2 бара (см. FВ320 Nw9, 85, 199,200). Показания внутреннего давления в  FВ320 Nw9 были взяты с датчика, который -1…30 бар, заменил показаниями с датчика формовки (-1...1,6 бар), что более правильно.;Замена в FВ320 Nw9 входного значения DB364.DBD1236 на значение с датчика формовки (см. FC300 NW6,7) DB364.DBD1232 - правая сторона, для левой стороны - DB164.DBD1236 на DB164.DBD1232. Изменения сделаны на всех 52 и 48 прессах. (сделано, что когда давление превышает 1,6 бар - показания с датчика внутр. давл., когда менее 1,6 бар - с датчика формовки)
01.01.2015;Кохонов Ю.;Вулканизация (Curing) ;Curing press 203;;С левой стороны сканер штрихкодов стал плохо считывать.;" В настройке сканера во вкладке ""Калибровка"", параметр ""Режим внутренней подсветки"", установил ""Always On"". Стал считывать четко, но красная подсветка теперь постоянно горит.";
01.01.2015;Власов А.;Вулканизация (Curing) ;Curing press 104;;Не набирает заданное давление формования (0,25 бар) в авто (в ручном набирает);"В ручном для клапана макс.% открытия 30%, в авто - 20%. 2 пути: 1) вскрыть и отревизировать регулирующий клапан, чтобы пластины с отверстиями для подачи пара легко двигались относит. друг друга; 2) поставить побольше % на открытие клапана в авто., что и сделал - откалибровал позиционер и поставил 25% (см.FB362 NW6) -больше ставить нельзя, иначе все время будет SG225. Проверил - все работает, оставил так.";"Для всех прессов 48-52"" - FB162 - для левой стороны; FB362- для правой (NW6 - в самом низу - % открытия для формовки 1 ст., далее - для формовки 2 и 3 стадий)"
01.01.2015;Власов А.;Вулканизация (Curing) ;Curing press 211;;В автомате не идет формовка.;"После поднятия диафрагменного узла для начала формовки одним из условий является наличие сигналов с реле давления - для новых 46"" - 39F1 (I9.0) -left; 47F1 (I17.0)- right side.. Здесь когда нет сигнала - все в порядке, формовка разрешена;  для старых 46"" - 39F6 (I9.5) - left; 43F6 (I13.5) - right - здесь нормально, когда сигнал есть - тогда формовка разрешена. Давление, когда цилиндр поднят д.б. 130 бар, реле можно настраивать на 100 бар.";
01.01.2015;Власов А.;Вулканизация (Curing) ;"Пресса 46"" V2 (В04,В06,В12,В13, С13)- с вакуумом";;Не сбросился таймер на включение вакуума (вакуум открыт при формовке) на С13Левая стор.;"Добавлено в проект PLC FC37, 67 Nw 8,10,12 для гарантированного сброса таймеров мультипауз при открытии еще метки M7.0-"" Press home pos. L"", M4.5 -"" Press home pos. R"". ";Протестировано, изменения загружены во все пресса с исп. Вакуума (5 прессов V2)
01.01.2015;Власов А.;Вулканизация (Curing) ;Пресс А03 Левая сторона;;При опускании пресса во время формовки останавливается с SG225;"Прозвонка контактов конечника. Не срабатывает конечник 28aS1- ""пресс в верхнем положении для безопасности"" - стойка, по которой движется колесико конечника не в вертикальном положении, регулировка стойки.";
01.01.2015;Копылов А.;Конвейерная система;Зона № 2;;Регулярно возникает ситуация на посту вторичного осмотра шин (самый дальний пост в зоне 2), когда шина не подается с зеленой ленты, идущей после спирали, на систему роликов. Шину приходится подавать вручную. После этого ситуация может повториться еще несколько раз, а может долго не появляться. После наблюдений было замечено, что это возникает, когда срабатывает датчик на наличие шины в середине спирали. Вероятнее всего - ошибка в программе.;Т.к. датчик на середине спирали не контролирует ее переполнение (для этого есть другой датчик на самом верху спирали), то его принудительно включили в состояние отсутствия шины - примотали изолентой отражатель.;
